Gene	A_1	A_2	A_3	A_4	A_5	B_1	B_2	B_3	B_4	B_5
RBM15B	4399	4907	3145	5684	4347	2803	3162	2945	2490	1722
RBM17	5878	5356	3500	7602	4356	4328	4526	4550	3799	2676
RBM18	2454	1892	1442	2820	1686	2555	2601	2732	2122	1578
RBM19	3502	3692	2290	4258	2597	2404	2706	2536	2240	1159
RBM20	256	275	191	317	183	168	211	214	143	98
RBM22	4193	3404	2410	4995	2653	3493	3567	3796	3028	1892
RBM23	4602	3951	2571	5578	2959	4457	4641	4415	3965	2352
RBM24	369	307	207	448	283	463	465	480	406	281
RBM25	8993	7481	5069	10357	7563	7624	7812	8212	6404	5182
RBM26	3833	3194	2140	4419	2967	3116	3094	3125	2671	1971
RBM26-AS1	107	75	44	96	48	128	163	170	130	59
RBM27	3996	3173	2225	4590	3322	2270	2298	2444	1969	1588
RBM28	3767	3449	2222	4711	2444	1067	1106	1152	990	561
RBM3	15832	12902	9365	19345	10141	4261	4583	4642	3836	2365
RBM33	6908	6706	4277	8120	5908	8220	8585	8457	6872	4560
RBM34	3069	2631	1801	3920	2184	1361	1513	1558	1231	900
RBM38	1554	1851	1290	2055	3039	836	900	905	792	903
RBM39	21537	18058	12331	25760	15310	9988	10130	10578	8806	6153
RBM4	4595	4226	2805	5667	3323	2498	2632	2659	2194	1381
RBM41	1963	1565	1215	2314	1522	1380	1351	1495	1139	907
RBM42	2279	2943	1879	3369	3637	1904	2060	1858	1623	1646
RBM43	588	443	363	733	481	281	289	316	247	205
RBM44	72	43	38	62	41	24	13	17	14	9
RBM45	652	534	387	837	471	345	357	377	340	232
RBM46	9	8	6	6	2	1	5	1	3	1
RBM47	1138	1009	621	1338	958	112	100	98	99	73
RBM4B	1295	1188	730	1667	803	1544	1701	1667	1456	825
RBM5	7912	7091	4668	9682	4853	8554	9190	8973	7684	4457
RBM6	7937	6975	4511	9690	5226	6057	6415	6538	5220	3193
RBM7	2329	1793	1315	2726	1635	685	703	786	605	415
RBM8A	7690	7324	4690	10047	5068	2764	2886	2861	2454	1361
RBMS1	4800	3981	2762	5527	3605	1260	1138	1253	951	748
RBMS2	2574	2070	1385	2847	1536	1825	2038	1850	1551	907
RBMS3	809	586	437	888	609	530	610	643	492	377
RBMX	22028	18422	12812	27066	15613	6998	7240	7440	6160	4207
RBMX2	1906	1494	1086	2213	1191	846	927	1035	762	509
RBMXL1	1814	1509	1060	2048	1286	1759	1809	1807	1486	1050
RBMXL2	1	0	2	1	1	1	0	1	0	0
RBMXL3	0	0	0	0	0	2	0	1	2	1
RBMY1A1	0	0	0	0	0	0	0	0	0	0
RBMY1A3P	0	0	0	0	0	0	0	0	0	0
RBMY1B	0	0	0	0	0	0	0	0	0	0
RBMY1D	0	0	0	0	0	0	0	0	0	0
RBMY1E	0	0	0	0	0	0	0	0	0	0
RBMY1F	0	0	0	0	0	0	0	0	0	0
RBMY1J	0	0	0	0	0	0	0	0	0	0
RBMY2EP	0	0	0	0	0	0	0	0	0	0
RBMY2FP	0	0	0	0	0	0	0	1	0	0
RBMY3AP	1	1	0	2	0	0	0	0	0	0
RBP1	445	401	279	533	251	1268	1284	1297	1143	685
RBP2	4	5	4	5	2	2	1	0	2	0
RBP3	0	2	0	1	2	54	70	73	61	49
RBP4	5150	5631	3515	6706	4539	927	1069	960	826	563
RBP5	220	239	149	292	135	48	66	54	30	25
RBP7	73	65	40	95	49	290	317	306	279	152
RBPJ	11646	9262	6569	13696	8498	7243	7343	7825	6212	4398
RBPJL	0	2	1	1	2	3	4	0	0	3
RBPMS	3350	2983	2021	4111	2554	486	544	518	446	346
RBPMS2	827	874	531	1084	866	184	213	190	166	129
RBX1	4265	3803	2535	5733	2675	3395	3508	3747	3174	1783
RC3H1	3024	2543	1690	3447	2179	3391	3523	3645	3089	2089
RC3H2	1583	1489	904	1721	1444	2196	2341	2153	1730	1316
